Rename,OriginalName
CORE2019MOF11902,RUFPUF_clean
CORE2019MOF11903,RUJMAM_clean
CORE2019MOF11904,RUMWUS_clean
CORE2019MOF11905,RUQVEF_clean
CORE2019MOF11906,RURQEB_clean
CORE2019MOF11907,RUYGEZ_clean
CORE2019MOF11908,SEFTOO_clean
CORE2019MOF11909,SEFVOQ_clean
CORE2019MOF11910,SEMPUX_clean
CORE2019MOF11911,SENWAL_clean
CORE2019MOF11912,SENWIT_clean
CORE2019MOF11913,SENWOZ_clean
CORE2019MOF11914,SERKEG_clean
CORE2019MOF11915,SETSUH_clean
CORE2019MOF11916,SITFUY_clean
CORE2019MOF11917,SIVGAH_clean
CORE2019MOF11918,SOKXIB_clean
CORE2019MOF11919,SOKXOH_clean
CORE2019MOF11920,SUGSEU_clean
CORE2019MOF11921,SUPQAW_clean
CORE2019MOF11922,SUWZOB_clean
CORE2019MOF11923,SUXSEL_clean
CORE2019MOF11924,TOHZAS_clean
CORE2019MOF11925,TONKIR_clean
CORE2019MOF11926,TORXEE_clean
CORE2019MOF11927,TOVGUI_clean
CORE2019MOF11928,TOVHAP_clean
CORE2019MOF11929,TOVHIX_clean
CORE2019MOF11930,TOVKAS_clean
CORE2019MOF11931,TOWMID_clean
CORE2019MOF11932,TOWMOJ_clean
CORE2019MOF11933,TOXNAX_clean
CORE2019MOF11934,TUBWEU_clean
CORE2019MOF11935,UDALUI_clean
CORE2019MOF11936,UGEMOK_clean
CORE2019MOF11937,UKOXUO_clean
CORE2019MOF11938,UMEJUT_clean
CORE2019MOF11939,UMODEH05_clean
CORE2019MOF11940,UNIFII_clean
CORE2019MOF11941,UNIGEE_clean
CORE2019MOF11942,USOXIL_clean
CORE2019MOF11943,UTEWUM_clean
CORE2019MOF11944,UTEXAT_clean
CORE2019MOF11945,UVEXAV_clean
CORE2019MOF11946,UVUPOR_clean
CORE2019MOF11947,VABKAN_clean
CORE2019MOF11948,VABKEP_clean
CORE2019MOF11949,VABKER_clean
CORE2019MOF11950,VAHSIH_clean
CORE2019MOF11951,VAMYIU_clean
CORE2019MOF11952,VAMYOA_clean
CORE2019MOF11953,VAMZAN_clean
CORE2019MOF11954,VARJAB_clean
CORE2019MOF11955,VARRIP_clean
CORE2019MOF11956,VIDJID_clean
CORE2019MOF11957,VIJNIN_clean
CORE2019MOF11958,VOKNAM_clean
CORE2019MOF11959,VOSVAC_clean
CORE2019MOF11960,VOXTOT_clean
CORE2019MOF11961,VUJBOS_clean
CORE2019MOF11962,VURNED04_clean
CORE2019MOF11963,WAFKEU05_clean
CORE2019MOF11964,WAFKEU06_clean
CORE2019MOF11965,WAFKEU07_clean
CORE2019MOF11966,WAQFAY_clean
CORE2019MOF11967,WARFAY01_clean
CORE2019MOF11968,WARFAY02_clean
CORE2019MOF11969,WARFAY03_clean
CORE2019MOF11970,WARFAY04_clean
CORE2019MOF11971,WARFAY05_clean
CORE2019MOF11972,WARFAY06_clean
CORE2019MOF11973,WARFIG_clean
CORE2019MOF11974,WAZRAS_clean
CORE2019MOF11975,WIJXAQ_clean
CORE2019MOF11976,WOMFAG_clean
CORE2019MOF11977,WOMFEK_clean
CORE2019MOF11978,WOMXED_clean
CORE2019MOF11979,WONZOP_clean
CORE2019MOF11980,WONZUV_clean
CORE2019MOF11981,WOWGEU_clean
CORE2019MOF11982,WUDZAY_clean
CORE2019MOF11983,WUDZUS_clean
CORE2019MOF11984,WUYLOS_clean
CORE2019MOF11985,XAMDUM07_clean
CORE2019MOF11986,XEKJIH_clean
CORE2019MOF11987,XEKJON_clean
CORE2019MOF11988,XEKJUT_clean
CORE2019MOF11989,XIJJEH_clean
CORE2019MOF11990,XINFUW_clean
CORE2019MOF11991,XISLUI_clean
CORE2019MOF11992,XITYEF_clean
CORE2019MOF11993,XIVVEF_clean
CORE2019MOF11994,XIZCUG_clean
CORE2019MOF11995,XOGXEY_clean
CORE2019MOF11996,XUDPUJ_clean
CORE2019MOF11997,XUDQAQ_clean
CORE2019MOF11998,XUDQEU_clean
CORE2019MOF11999,XUWVEQ_clean
CORE2019MOF12000,YAFJEX_clean
CORE2019MOF12001,YAPTIT_clean
CORE2019MOF12002,YASVOG_clean
CORE2019MOF12003,YAZFOW_clean
CORE2019MOF12004,YECQUS02_clean
CORE2019MOF12005,YEFPII_clean
CORE2019MOF12006,YEGYIU_clean
CORE2019MOF12007,YINXUQ_clean
CORE2019MOF12008,YIWMIA_clean
CORE2019MOF12009,YORCEP_clean
CORE2019MOF12010,YOVNUU_clean
CORE2019MOF12011,YUTJAA_clean
CORE2019MOF12012,ZADQUT_clean
CORE2019MOF12013,ZADRAA_clean
CORE2019MOF12014,ZADREE_clean
CORE2019MOF12015,ZADROO_clean
CORE2019MOF12016,ZERNAN_clean
CORE2019MOF12017,ZESFUY_clean
CORE2019MOF12018,ZODXAT_clean
CORE2019MOF12019,ZOJWAY_clean
CORE2019MOF12020,ZUQBUK_clean
