Rename,OriginalName
CORE2019MOF546,BAMKOS_clean
CORE2019MOF547,BANMAG_clean
CORE2019MOF548,BAPDAA_clean
CORE2019MOF549,BAQWEY_clean
CORE2019MOF550,BAQWIC_clean
CORE2019MOF551,BAQWOI_clean
CORE2019MOF552,BARZAW_clean
CORE2019MOF553,BARZIE_clean
CORE2019MOF554,BARZOK_clean
CORE2019MOF555,BARZOL_charged
CORE2019MOF556,BARZUR_clean
CORE2019MOF557,BASJUB_clean
CORE2019MOF558,BASSOF_clean
CORE2019MOF559,BASSUL_clean
CORE2019MOF560,BASTAS_clean
CORE2019MOF561,BASTEW_clean
CORE2019MOF562,BASTIA_clean
CORE2019MOF563,BASTUM_clean
CORE2019MOF564,BAWROI_clean
CORE2019MOF565,BAWRUO_clean
CORE2019MOF566,BAXFIR01_clean
CORE2019MOF567,BAXFIR02_clean
CORE2019MOF568,BAXFUD_clean
CORE2019MOF569,BAXGAK_clean
CORE2019MOF570,BAXLOD_clean
CORE2019MOF571,BAXREY_clean
CORE2019MOF572,BAXSIE_clean
CORE2019MOF573,BAYCOU_clean
CORE2019MOF574,BAZDAJ_clean
CORE2019MOF575,BAZFUF01_clean
CORE2019MOF576,BAZFUF_clean
CORE2019MOF577,BAZGAM_clean
CORE2019MOF578,BAZGEQ_clean
CORE2019MOF579,BAZJET_clean
CORE2019MOF580,BAZJIX_clean
CORE2019MOF581,BEDYEQ_clean
CORE2019MOF582,BEFGEA_manual
CORE2019MOF583,BEFKUU_clean
CORE2019MOF584,BEFLAB01_clean
CORE2019MOF585,BEFLEF_clean
CORE2019MOF586,BEFLIJ_clean
CORE2019MOF587,BEFLUV_clean
CORE2019MOF588,BEFMAC_clean
CORE2019MOF589,BEFMOQ_clean
CORE2019MOF590,BEFMUW_clean
CORE2019MOF591,BEFNAD_clean
CORE2019MOF592,BEFNEH_clean
CORE2019MOF593,BEFNIL_clean
CORE2019MOF594,BEFNOR_clean
CORE2019MOF595,BEFNUX_clean
CORE2019MOF596,BEFPAF_clean
CORE2019MOF597,BEGBOG_clean
CORE2019MOF598,BEGDEY_clean
CORE2019MOF599,BEJZAS_clean
CORE2019MOF600,BEKSAM_clean
CORE2019MOF601,BEKYOG_clean
CORE2019MOF602,BEKYUM_clean
CORE2019MOF603,BEKZEX01_clean
CORE2019MOF604,BEKZEX_clean
CORE2019MOF605,BELJIL_clean
CORE2019MOF606,BELTOD_clean
CORE2019MOF607,BELTUJ_clean
CORE2019MOF608,BELVEV_charged
CORE2019MOF609,BELYIC_clean
CORE2019MOF610,BENXUP_clean
CORE2019MOF611,BENZOL_clean
CORE2019MOF612,BENZUR_clean
CORE2019MOF613,BEPBAB_clean
CORE2019MOF614,BEPLUF_clean
CORE2019MOF615,BEPMAM_clean
CORE2019MOF616,BEPMIU_clean
CORE2019MOF617,BEPNER_clean
CORE2019MOF618,BEPNIV_clean
CORE2019MOF619,BEPNOB_clean
CORE2019MOF620,BEPNUH_clean
CORE2019MOF621,BEPPAP_clean
CORE2019MOF622,BEPPIX_clean
CORE2019MOF623,BEPPOD_clean
CORE2019MOF624,BEPREV01_clean
CORE2019MOF625,BEPREV02_clean
CORE2019MOF626,BEPREV03_clean
CORE2019MOF627,BEPREV_clean
CORE2019MOF628,BEPRIZ_clean
CORE2019MOF629,BEPROF_clean
CORE2019MOF630,BEPVAV_clean
CORE2019MOF631,BEPVEZ_clean
CORE2019MOF632,BEPVID_clean
CORE2019MOF633,BEPVOJ01_clean
CORE2019MOF634,BEPVOJ_clean
CORE2019MOF635,BEPWEA_clean
CORE2019MOF636,BERFIP_clean
CORE2019MOF637,BERGAI_clean
CORE2019MOF638,BERQIA_clean
CORE2019MOF639,BETDAH_clean
CORE2019MOF640,BETDEL_clean
CORE2019MOF641,BETDIP_clean
CORE2019MOF642,BETDOV_clean
CORE2019MOF643,BETDUB_clean
CORE2019MOF644,BETFAJ_clean
CORE2019MOF645,BETFEN_clean
CORE2019MOF646,BETFIR_clean
CORE2019MOF647,BETFOX_clean
CORE2019MOF648,BETFUD_clean
CORE2019MOF649,BETGAK_clean
CORE2019MOF650,BETGEO_clean
CORE2019MOF651,BETGIS_clean
CORE2019MOF652,BETGOY_clean
CORE2019MOF653,BETGUE_clean
CORE2019MOF654,BETHEP_clean
CORE2019MOF655,BETHIT_clean
CORE2019MOF656,BETZOR_clean
CORE2019MOF657,BEVQID_clean
CORE2019MOF658,BEVQUP_clean
CORE2019MOF659,BEVRAW_clean
CORE2019MOF660,BEVWAB_clean
CORE2019MOF661,BEWCUD_clean
CORE2019MOF662,BEWVEG_clean
CORE2019MOF663,BEWVOQ_clean
CORE2019MOF664,BEWWEH_clean
CORE2019MOF665,BEXPAX_clean
CORE2019MOF666,BEXQIF_clean
CORE2019MOF667,BEXQOL_clean
CORE2019MOF668,BEXQUR_clean
CORE2019MOF669,BEXRAY_clean
CORE2019MOF670,BEXREC_clean
CORE2019MOF671,BEXRIG_clean
CORE2019MOF672,BEXRUT_clean
